applicant_id,Primary_applicant_age_in_years,Gender,Marital_status,Number_of_dependents,Housing,Years_at_current_residence,Employment_status,Foreign_worker,Savings_account_balance,Has_been_employed_for_at_least (year),Months_loan_taken_for,Purpose,Principal_loan_amount,EMI_rate_in_percentage_of_disposable_income,Property,Has_coapplicant,Has_guarantor,Number_of_existing_loans_at_this_bank,Loan_history,high_risk_applicant
1348796,55,male,separated,1,own,1,employee,1,Low,0,24,FF&E,6872000,2,building society savings agreement/life insurance,0,0,1,all loans at this bank paid back duly,1
1233898,31,male,single,2,own,2,unskilled - resident,0,Low,1,10,new vehicle,1546000,3,real estate,0,0,1,existing loans paid back duly till now,0
1892638,38,male,single,2,free,3,employee,1,Low,4,24,new vehicle,947000,4,car or other,0,0,1,existing loans paid back duly till now,1
1864186,47,male,single,1,own,4,unskilled - resident,1,Low,7,8,new vehicle,731000,4,real estate,0,0,2,critical/pending loans at other banks,0
1683052,25,female,separated,1,own,2,employee,1,Low,1,36,new vehicle,7855000,4,real estate,0,0,2,critical/pending loans at other banks,1
1428429,48,male,single,1,own,4,employee,1,Low,1,9,new vehicle,2134000,4,car or other,0,0,3,critical/pending loans at other banks,0
1548860,27,male,married,1,own,1,employee,1,Low,1,9,business,1391000,2,real estate,0,0,1,existing loans paid back duly till now,0
1156488,24,female,separated,1,own,2,employee,1,Low,4,48,new vehicle,8487000,1,car or other,0,0,1,existing loans paid back duly till now,0
1183811,25,female,separated,1,rent,4,employee,1,Low,4,24,FF&E,3972000,2,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
1458796,23,female,separated,1,own,2,unskilled - resident,1,Medium,0,12,new vehicle,836000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1
1243419,50,male,single,1,own,2,employee,1,Low,1,12,FF&E,1574000,4,real estate,0,0,1,existing loans paid back duly till now,0
1313830,28,male,single,1,own,2,unskilled - resident,1,Low,1,21,used vehicle,2993000,3,real estate,0,0,2,delay in paying off loans in the past,0
1843702,57,female,separated,1,rent,4,qualified employee,1,Very high,7,24,electronic equipment,1231000,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,0
1435055,40,female,separated,1,rent,4,employee,1,Low,4,18,FF&E,3001000,2,real estate,0,0,1,existing loans paid back duly till now,0
1554006,27,male,separated,1,own,4,employee,1,Low,0,36,new vehicle,2820000,4,car or other,0,0,2,critical/pending loans at other banks,1
1796503,33,male,separated,1,own,2,employee,1,Low,1,24,repair costs,2058000,4,real estate,0,0,2,critical/pending loans at other banks,0
1631439,35,male,single,1,own,4,employee,1,Low,7,12,electronic equipment,976000,4,car or other,0,0,2,critical/pending loans at other banks,0
1645589,39,male,single,2,own,4,qualified employee,1,Low,7,18,new vehicle,6458000,2,car or other,0,0,2,all loans at this bank paid back duly,1
1873573,60,male,single,1,own,3,employee,1,Low,7,12,FF&E,2246000,3,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,1
1632379,38,male,single,2,own,1,unskilled - resident,1,Low,7,12,new vehicle,1495000,4,real estate,0,0,2,critical/pending loans at other banks,0
1149571,51,male,single,1,own,4,employee,1,Low,4,11,electronic equipment,4771000,2,building society savings agreement/life insurance,0,0,1,delay in paying off loans in the past,0
1486366,32,male,single,1,own,2,employee,1,Low,0,18,electronic equipment,4594000,3,car or other,0,0,1,existing loans paid back duly till now,0
1442483,26,male,single,2,own,3,employee,1,Low,4,48,used vehicle,4788000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
1246402,58,female,separated,1,free,4,unskilled - resident,1,Low,7,48,used vehicle,6143000,4,car or other,0,0,2,critical/pending loans at other banks,1
1161027,26,female,separated,1,own,1,employee,1,Low,1,30,electronic equipment,1715000,4,car or other,0,0,1,existing loans paid back duly till now,0
1419059,23,male,single,1,own,2,unskilled - resident,1,Low,0,24,new vehicle,1246000,4,real estate,0,0,1,existing loans paid back duly till now,1
1894721,20,male,single,2,rent,2,qualified employee,1,Low,1,12,electronic equipment,1107000,2,real estate,0,0,1,existing loans paid back duly till now,0
1126090,53,female,separated,1,own,1,qualified employee,1,Low,1,30,used vehicle,7485000,4,real estate,0,0,1,all loans at this bank paid back duly,1
1381175,24,male,single,1,own,2,employee,1,Low,1,18,electronic equipment,1800000,4,car or other,0,0,2,critical/pending loans at other banks,0
1168078,36,male,single,2,own,4,employee,1,Low,7,18,new vehicle,884000,4,car or other,0,0,1,critical/pending loans at other banks,1
1457378,21,male,married,1,own,2,unskilled - resident,1,Low,1,24,business,6568000,2,car or other,0,0,1,existing loans paid back duly till now,0
1280180,32,male,single,1,own,2,employee,1,High,1,6,FF&E,2978000,1,car or other,0,0,1,existing loans paid back duly till now,0
